"mz"	"present"	"occurrence"	"purity"	"rsd_all"	"blank_flag"	"flags"	"A02_Polar_Daph_WAX1_Phenyl_LCMS_Pos_DIMS.mzML"	"intensity"	"medianPurity"	"meanPurity"	"sdPurity"	"cvPurity"	"sdePurity"	"medianPeakNum"
207.050630174	1	1	1	NA	1	1	153240.030617	153240.030617	0.346691257404861	0.351995992457232	0.0515319883563503	14.6399360960371	0.00482641291371508	4
209.080034528	1	1	1	NA	1	1	150708.108602	150708.108602	0.786269767819898	0.789623677114109	0.145120541096227	18.3784434664635	0.0137126022095623	4
213.074881303	1	1	1	NA	1	1	338210.636924	338210.636924	1	0.96719167499769	0.0450093922625556	4.65361659183668	0.00421551581810244	1
216.01457806	1	1	1	NA	1	1	130393.950893	130393.950893	0.828159784994391	0.834756147551201	0.143273924564572	17.1635662684094	0.0134188324916804	2
217.107029308	1	1	1	NA	0	0	117428.487419	117428.487419	0.360636829903296	0.362543913644309	0.0695431784826093	19.1820013701397	0.00654207192523157	5
217.179795222	1	1	1	NA	0	0	108312.020173	108312.020173	0.338242133738475	0.342061886472429	0.0709818707704068	20.751177952744	0.00664806130430883	5
219.026545661	1	1	1	NA	1	1	162542.281599	162542.281599	0.135412478073734	0.13764467115046	0.0262845205424388	19.0959230914992	0.00246177090042757	3
219.082858035	1	1	1	NA	1	1	946967.953399	946967.953399	0.810322242593436	0.809285347053527	0.0459814079677069	5.68172995286737	0.00430655342991037	3
221.018563923	1	1	1	NA	1	1	259831.16276	259831.16276	0.924648915593917	0.919556366403197	0.077102970166035	8.38480086518457	0.00722135478883151	2
226.951522024	1	1	1	NA	0	0	223744.275219	223744.275219	0.122058117831484	0.126918401545669	0.0247369589008454	19.49044315055	0.00231682847282113	2
227.113936173	1	1	1	NA	1	1	1703845.4386	1703845.4386	0.892136510414294	0.887745700978794	0.0223427314704892	2.51679410509733	0.002092588528724	2
228.1172087	1	1	1	NA	1	1	156374.441925	156374.441925	1	0.920690114182042	0.0928882500638723	10.0889809321344	0.00869978170724752	1
232.896645878	1	1	1	NA	1	1	123935.480864	123935.480864	0.858347326595853	0.872604807762338	0.128379408134699	14.7122049973467	0.0120238332158214	2
235.056798165	1	1	1	NA	1	1	405245.252467	405245.252467	0.894502280900514	0.89756007846862	0.067048262201925	7.47005841840916	0.00627964510695321	3
237.144275788	1	1	1	NA	1	1	113584.923135	113584.923135	0.725630659643851	0.743528332766996	0.1749513985605	23.5298899652457	0.0164580431578758	2
238.04512725	1	1	1	NA	1	1	137101.655687	137101.655687	1	0.955254306822289	0.070437171531666	7.37365652566168	0.00659704554645043	2
239.089026602	1	1	1	NA	0	0	195155.207648	195155.207648	0.174971389856753	0.17418668740173	0.0220724301358849	12.6717089951764	0.0020672724892398	2
239.161804467	1	1	1	NA	0	0	948471.314145	948471.314145	0.829793808571166	0.830025889457648	0.0217769040825971	2.62364154650965	0.00203959393839359	2
240.16516319	1	1	1	NA	0	0	124114.235779	124114.235779	1	0.915468676901479	0.107899195596199	11.7862247304187	0.0101056855676478	1
242.925409016	1	1	1	NA	1	1	224849.671532	224849.671532	1	0.941709234329713	0.0729709477987395	7.74877691952108	0.00683435543659679	2
244.165571621	1	1	1	NA	1	1	161038.253836	161038.253836	0.773003596819752	0.792015027822187	0.12568509517997	15.8690290922342	0.0117714876872854	4
249.09581248	1	1	1	NA	1	1	463754.661458	463754.661458	0.849385919739648	0.842945231519965	0.0479453365816815	5.68783531703814	0.00449049219739116	2
255.135716622	1	1	1	NA	1	1	217409.046327	217409.046327	0.7248835855647	0.726836135541731	0.0755464212304099	10.3938725025144	0.0070755706240176	2
258.11005415	1	1	1	NA	1	1	1115782.48355	1115782.48355	1	0.999002393528937	0.00750251267321964	0.751000470250858	0.000702674692094937	1
259.113428484	1	1	1	NA	1	1	116684.024123	116684.024123	0.422819663327365	0.428580547237999	0.112490967126785	26.2473338679827	0.010582260028082	4
260.026986373	1	1	1	NA	1	1	114329.273026	114329.273026	0.850488099272794	0.85383957265427	0.139573097425127	16.3465247916826	0.0130722182726884	1
262.139666583	1	1	1	NA	1	1	112895.448374	112895.448374	1	0.879654909030516	0.139054458283765	15.8078420135255	0.0130236432665753	4
263.013036178	1	1	1	NA	1	1	109641.587791	109641.587791	0.367742999369338	0.371525704181262	0.0735675732915281	19.8014760388249	0.00689023453373416	5
263.200494221	1	1	1	NA	0	0	161257.532785	161257.532785	0.595237097821558	0.587109408702873	0.0775268267898019	13.20483467657	0.007261052598828	5
265.069706061	1	1	1	NA	1	1	117335.705028	117335.705028	0.555694881196493	0.570564518166059	0.129812441891704	22.7515798404279	0.0121580491242543	3
271.077737641	1	1	1	NA	1	1	450346.351974	450346.351974	0.896398380147996	0.897264000554858	0.0463581998054632	5.16661760382628	0.00434184321882661	2
276.155374087	1	1	1	NA	1	1	136931.070613	136931.070613	0.65997971069566	0.658188880027101	0.0857125794104296	13.0224897459374	0.00802771857498776	3
280.092071266	1	1	1	NA	1	1	4695554.13158	4695554.13158	1	1	0	0	0	1
281.095366093	1	1	1	NA	1	1	340729.456277	340729.456277	1	0.965016765556465	0.0517255512740932	5.36006762994074	0.00484454174195571	1
285.182496188	1	1	1	NA	0	0	1029922.30702	1029922.30702	0.949761261292758	0.966109832910538	0.0309900664627356	3.20771670125474	0.00290248565489718	2
286.185822336	1	1	1	NA	0	0	183219.009046	183219.009046	0.809015470317492	0.824877636631417	0.113003579557653	13.6994354725302	0.0105837549271641	2
287.051676968	1	1	1	NA	1	1	242733.36705	242733.36705	0.77612030361104	0.773355058723909	0.0826310446378363	10.6847487070406	0.00773910640039711	2
290.145887292	1	1	1	NA	1	1	113405.155344	113405.155344	1	0.925854656211471	0.106284520076923	11.4796117688528	0.00995445734948162	4
292.197944568	1	1	1	NA	1	1	284733.869866	284733.869866	1	0.951055697019028	0.0793683631106588	8.34529074999809	0.00743352827779069	1
295.035845285	1	1	1	NA	1	1	165469.133189	165469.133189	1	0.951010673818338	0.116444204586892	12.2442584287056	0.0109541493257218	1
296.065981413	1	1	1	NA	1	1	2118414.36513	2118414.36513	1	1	0	0	0	1
297.069291673	1	1	1	NA	1	1	164842.79237	164842.79237	0.641498094410546	0.654887805736813	0.129155049829558	19.7217063286507	0.0120964787164491	3
298.064070296	1	1	1	NA	1	1	138663.554301	138663.554301	0.517646393957481	0.526560665866796	0.101822108837017	19.3372037520887	0.0095786182645808	4
304.161525258	1	1	1	NA	1	1	419869.29057	419869.29057	1	0.976282768886854	0.0353613150948901	3.62203617863794	0.00331189059967436	1
309.2036181	1	1	1	NA	0	0	179366.074082	179366.074082	0.760888136505865	0.774192834178707	0.0928432623218866	11.9922657796721	0.00869556821916363	3
312.166592178	1	1	1	NA	1	1	148686.24328	148686.24328	1	0.926831333555935	0.106584240433836	11.4998529478831	0.0100266019216924	1
326.143410047	1	1	1	NA	1	1	125171.338949	125171.338949	1	0.939079354233213	0.100316936011691	10.682476998294	0.00939554189298983	3
348.079411021	1	1	1	NA	1	1	224606.194901	224606.194901	0.768822745346824	0.771694346446938	0.0733526595617952	9.50540325966208	0.00687010601873597	3
360.323661403	1	1	1	NA	0	0	113707.860095	113707.860095	1	0.950762290878889	0.0846216937949576	8.90040492842149	0.0079255477760368	1
364.053454491	1	1	1	NA	1	1	111448.034526	111448.034526	1	0.873168413230695	0.151846186023037	17.3902518371239	0.0142216983371971	1
