"","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","blank","sample","LCMS_1","LCMS_2","LCMSMS_1","LCMSMS_2","blank_median_I","sample_median_I","blank_RSD_I","sample_RSD_I","blank_coverage","sample_coverage","blank_RSD_RT","sample_RSD_RT","rsd_all_RT","grpid","blank_valid","sample_valid","all_sample_valid","mzmin_full","mzmax_full","rtmin_full","rtmax_full","mzmin_full.1","mzmax_full.1","rtmin_full.1","rtmax_full.1","xcmsIDx"
"742",446.238821718969,446.238795771323,446.238847666615,66.995307,66.950652,67.039962,2,2,0,33415625.8469117,33514931.8810442,NA,NA,33465278.8639779,NA,0.209829329178035,NA,1,0,0.0942628811713317,NA,0.0942628811713317,742,1,0,0,446.221466064453,446.260131835938,52.309641,80.70117,446.221466064453,446.260131835938,52.309641,80.70117,1
"743",447.127161699729,447.127158964981,447.127164434476,139.286532,138.898428,139.674636,2,2,0,3805530.89224803,3667759.95950508,NA,NA,3736645.42587656,NA,2.60711814180442,NA,1,0,0.394052413058303,NA,0.394052413058303,743,1,0,0,447.113861083984,447.130950927734,126.150684,152.532948,447.113861083984,447.130950927734,126.150684,152.532948,1
"744",447.188210168636,447.188047846604,447.188372490668,64.613757,64.5036,64.723914,2,2,0,10868030.0661332,10272541.7131662,NA,NA,10570285.8896497,NA,3.98356162639751,NA,1,0,0.241102716547398,NA,0.241102716547398,744,1,0,0,447.108642578125,447.244140625,48.8907258,75.317226,447.108642578125,447.244140625,48.8907258,75.317226,1
"745",447.261621327441,447.261595709689,447.261646945192,278.673303,278.53602,278.810586,2,2,0,13088881.790371,12948377.7042036,NA,NA,13018629.7472873,NA,0.763147843067825,NA,1,0,0.0696684893720374,NA,0.0696684893720374,745,1,0,0,447.160705566406,447.3466796875,266.518014,290.444634,447.160705566406,447.3466796875,266.518014,290.444634,1
"746",448.185945749196,448.140294318848,448.190524231264,61.020336,42.5736636,118.960884,5,2,1,49231140.1188695,49816264.0222777,10183149.9250795,NA,49523702.0705736,10183149.9250795,0.83544860871802,NA,1,0.5,0.479264264978787,NA,19.2443632876999,746,1,0,0,447.958099365234,448.143402099609,25.5880068,53.9081688,447.958099365234,448.143402099609,25.5880068,53.9081688,1
"748",449.206558505089,449.187340082846,449.279643300645,70.172283,34.910964,119.2755,6,2,2,18482995.8408415,12893535.5189245,3735187.92799177,3316271.38332515,15688265.679883,3525729.65565846,25.1930033405077,8.40162912121186,1,1,41.3676654288794,0.917467650793521,28.1819511415404,748,1,1,1,449.075775146484,449.225341796875,24.3212058,77.25696,449.075775146484,449.225341796875,24.3212058,77.25696,1
"749",450.12092826834,450.104820895432,450.137035641249,32.5990467,32.2393878,32.9587056,2,2,0,4889879.66368998,5340803.59338084,NA,NA,5115341.62853541,NA,6.23323702770923,NA,1,0,1.56027413589426,NA,1.56027413589426,749,1,0,0,449.955871582031,450.146942138672,19.0805778,43.056396,449.955871582031,450.146942138672,19.0805778,43.056396,1
"750",450.231366622626,450.231151491232,450.23158175402,230.798334,230.538312,231.058356,2,2,0,13783560.4160385,14743783.215255,NA,NA,14263671.8156467,NA,4.76020523713338,NA,1,0,0.15932811669055,NA,0.15932811669055,750,1,0,0,450.173797607422,450.232391357422,216.592794,243.96957,450.173797607422,450.232391357422,216.592794,243.96957,1
"751",450.971979655583,450.966131782407,450.97782752876,33.2424294,33.202902,33.2819568,2,2,0,2161478.6151179,2111005.2206793,NA,NA,2136241.9178986,NA,1.67069465204301,NA,1,0,0.168159145328131,NA,0.168159145328131,751,1,0,0,450.871917724609,451.043670654297,19.5146988,44.6391402,450.871917724609,451.043670654297,19.5146988,44.6391402,1
"752",451.213498303825,451.213210893345,451.213785714305,227.476272,227.383302,227.569242,2,2,0,4839311.11453807,5071922.08119926,NA,NA,4955616.59786866,NA,3.31907823489065,NA,1,0,0.0577991865867391,NA,0.0577991865867391,752,1,0,0,451.1669921875,451.235107421875,215.872422,239.776554,451.1669921875,451.235107421875,215.872422,239.776554,1
